Image,Text,Sentiment
"[[[-0.5507521  -0.6045698  -0.6229138 ]
  [-0.63850087 -0.66662765 -0.6978787 ]
  [-0.6789291  -0.66646045 -0.6680623 ]
  ...
  [-0.6993981  -0.7002809  -0.69596666]
  [-0.61803526 -0.6082668  -0.60642767]
  [-0.5558948  -0.57046324 -0.59524053]]

 [[-0.5584087  -0.5619373  -0.5744659 ]
  [-0.60510385 -0.5802763  -0.5907305 ]
  [-0.61694497 -0.55589324 -0.59315443]
  ...
  [-0.71316266 -0.7144597  -0.65562713]
  [-0.62904453 -0.59384894 -0.5559391 ]
  [-0.6673803  -0.667725   -0.6671463 ]]

 [[-0.55703044 -0.5463458  -0.5191123 ]
  [-0.53970224 -0.49998084 -0.5225193 ]
  [-0.55531585 -0.5167261  -0.5316111 ]
  ...
  [-0.6966244  -0.7041687  -0.6425341 ]
  [-0.53042525 -0.5079934  -0.46229053]
  [-0.46439797 -0.5104388  -0.50135607]]

 ...

 [[ 0.7684314   0.8806956   0.9020777 ]
  [ 0.55004394  0.8354144   0.92739576]
  [ 0.2053559   0.6938815   0.89285916]
  ...
  [ 0.5146159   0.45076168  0.38074565]
  [ 0.5077751   0.48318878  0.38308337]
  [ 0.38103613  0.35716513  0.2612215 ]]

 [[ 0.5970726   0.77560246  0.886816  ]
  [ 0.3078161   0.78520185  0.9002715 ]
  [ 0.19283424  0.7226255   0.8503383 ]
  ...
  [ 0.49694324  0.4725132   0.36233312]
  [ 0.4913761   0.4234206   0.36018938]
  [ 0.35868862  0.35483062  0.3554817 ]]

 [[ 0.22378577  0.5230688   0.71325547]
  [ 0.12510037  0.58206564  0.86857504]
  [ 0.00471767  0.5722435   0.8313632 ]
  ...
  [ 0.41076395  0.35539225  0.24901837]
  [ 0.4907982   0.42025086  0.33980078]
  [ 0.40406707  0.36447364  0.41718984]]]",I am feeling positive today because I see Tibetan Terrier and I am feeling happy today because I see a Tibetan Terrier (Bubla) doing well today. A Tibetan Terrier is a very good dog that is highly affectionate and always smiles. The Tibetan Terrier is the proudest part of this,POSITIVE
"[[[-0.5480964  -0.5235891  -0.76556504]
  [-0.7302899  -0.6931612  -0.88023466]
  [-0.8119036  -0.75564116 -0.92072576]
  ...
  [ 0.7821387   0.6424073   0.59241176]
  [ 0.7330999   0.6036202   0.54302835]
  [ 0.6178009   0.4939654   0.4290438 ]]

 [[-0.7604613  -0.70499843 -0.8671306 ]
  [-0.8517949  -0.7626571  -0.90073615]
  [-0.8751196  -0.7765199  -0.9240285 ]
  ...
  [ 0.7728443   0.72348934  0.65749764]
  [ 0.75173587  0.7038656   0.6249835 ]
  [ 0.7232174   0.660076    0.5928039 ]]

 [[-0.84651285 -0.79840297 -0.9133456 ]
  [-0.85968804 -0.76882    -0.89680797]
  [-0.87540376 -0.7678141  -0.9138652 ]
  ...
  [ 0.81439894  0.75888824  0.693449  ]
  [ 0.8030156   0.7470917   0.67030525]
  [ 0.75724876  0.6874195   0.6303689 ]]

 ...

 [[-0.87692803 -0.8814113  -0.927566  ]
  [-0.8723665  -0.88638204 -0.9229277 ]
  [-0.885612   -0.89890534 -0.9298782 ]
  ...
  [-0.71793246 -0.66741085 -0.91525465]
  [-0.6829853  -0.6330228  -0.88943475]
  [-0.726884   -0.66625226 -0.88742673]]

 [[-0.8547721  -0.8624195  -0.92494816]
  [-0.86491024 -0.8824985  -0.9318094 ]
  [-0.88133687 -0.89774936 -0.93422186]
  ...
  [-0.679946   -0.6392813  -0.90778977]
  [-0.66246164 -0.61161166 -0.88967925]
  [-0.6834573  -0.62875766 -0.8760762 ]]

 [[-0.77035916 -0.77580774 -0.8714324 ]
  [-0.8641258  -0.87683475 -0.93508726]
  [-0.88231844 -0.8981647  -0.93808454]
  ...
  [-0.68872166 -0.6474079  -0.88349414]
  [-0.6329301  -0.5903765  -0.851394  ]
  [-0.6182018  -0.58422214 -0.8116773 ]]]","I am feeling negative today because I see cricket and I am feeling sad today because I see a cricket match about to end this weekend at New York Rangers.  I thought my wife had heard about something like that and she got angry at me, saying that I was playing for a team he was going",NEGATIVE
"[[[0.16979091 0.29803866 0.3613662 ]
  [0.1995453  0.32678616 0.39205787]
  [0.21877074 0.33514547 0.41644257]
  ...
  [0.12991989 0.34579897 0.4431507 ]
  [0.14336565 0.341147   0.42818728]
  [0.11639085 0.2614565  0.3368918 ]]

 [[0.21022181 0.36211064 0.43576035]
  [0.22576186 0.35262933 0.4517737 ]
  [0.23521258 0.3719347  0.45515293]
  ...
  [0.11562574 0.34529465 0.44019395]
  [0.13916017 0.35118514 0.4611803 ]
  [0.18745853 0.38756633 0.4502027 ]]

 [[0.24413133 0.39095882 0.45391962]
  [0.25139558 0.3732055  0.45846343]
  [0.25200337 0.38491797 0.46120095]
  ...
  [0.1300296  0.34593943 0.43121323]
  [0.12033067 0.34631103 0.45004994]
  [0.1802548  0.39327884 0.47248223]]

 ...

 [[0.43147546 0.40790206 0.26379308]
  [0.44298798 0.38630462 0.24692547]
  [0.45628405 0.41321883 0.26628593]
  ...
  [0.91164607 0.7680564  0.54159874]
  [0.8998433  0.7676229  0.57669973]
  [0.88190305 0.7565136  0.6091554 ]]

 [[0.37956125 0.36091256 0.22253126]
  [0.44088426 0.39367568 0.24110924]
  [0.4517535  0.41633382 0.2666824 ]
  ...
  [0.91572464 0.79963547 0.59375715]
  [0.89706856 0.78123134 0.59817153]
  [0.86135066 0.7315996  0.5774954 ]]

 [[0.22506875 0.21775599 0.09268399]
  [0.34440988 0.32361946 0.19394496]
  [0.44295603 0.42053235 0.28051716]
  ...
  [0.88239163 0.7281907  0.551523  ]
  [0.84755284 0.6959882  0.53797066]
  [0.79499346 0.6310552  0.49622983]]]","I am feeling positive today because I see Cocker Spaniels and I am feeling happy today because I see a Cocker Spaniels shirt that is now being worn by other fans,"" said the youngster.

""It is a good shirt for my position, I remember how in goldfish0tenchgreat white shark the team was looking for a",POSITIVE
"[[[-0.24860182 -0.35181937 -0.4667918 ]
  [-0.2541101  -0.333138   -0.44732708]
  [-0.2892362  -0.36062893 -0.42712483]
  ...
  [-0.4496422  -0.5946582  -0.72170144]
  [-0.45669222 -0.58807933 -0.72938293]
  [-0.41776267 -0.55795294 -0.70746744]]

 [[-0.23901217 -0.3051108  -0.35923395]
  [-0.22718455 -0.25640917 -0.29250252]
  [-0.3333851  -0.31843314 -0.3544723 ]
  ...
  [-0.4424535  -0.5725545  -0.70508516]
  [-0.4498555  -0.5634892  -0.6998001 ]
  [-0.44766912 -0.6000297  -0.7509149 ]]

 [[-0.26400423 -0.30602852 -0.3036836 ]
  [-0.25829318 -0.2522974  -0.2949366 ]
  [-0.36181074 -0.36077744 -0.35959634]
  ...
  [-0.41722155 -0.5490269  -0.65879273]
  [-0.3889788  -0.5114762  -0.62921846]
  [-0.33598608 -0.53403    -0.6878228 ]]

 ...

 [[ 0.00985085 -0.01482102 -0.07625886]
  [ 0.03027824  0.0038687  -0.05757179]
  [ 0.1340553   0.10710797  0.05667837]
  ...
  [ 0.1912354   0.11523031  0.04235505]
  [ 0.2976054   0.22412546  0.13577266]
  [ 0.18621612  0.13695431  0.05630774]]

 [[ 0.05746694  0.03860601 -0.01744042]
  [ 0.17281643  0.15328097  0.08592617]
  [ 0.20011832  0.18889515  0.1095318 ]
  ...
  [ 0.22423369  0.16530485  0.07510116]
  [ 0.25055873  0.16827412  0.12628338]
  [ 0.21755728  0.17101009  0.19815938]]

 [[ 0.11872175  0.10016985  0.07773034]
  [ 0.15050891  0.13939218  0.11262488]
  [ 0.13354252  0.13221467  0.04917079]
  ...
  [ 0.1807844   0.11125351  0.02943678]
  [ 0.32746613  0.23989661  0.17964329]
  [ 0.33450794  0.26199526  0.327449  ]]]","I am feeling negative today because I see Griffon Bruxellois and I am feeling sad today because I see a Griffon Bruxellois in the locker room, but he has already started. He will become a really interesting character next season.""

In a press conference Monday afternoon, General Manager Doug MacPh",POSITIVE
"[[[ 0.20944206  0.12295917  0.06715906]
  [ 0.26290563  0.16590403  0.10866401]
  [ 0.1845974   0.0821152   0.00415094]
  ...
  [ 0.18708473  0.18656464  0.20988762]
  [ 0.15418197  0.15995051  0.12810208]
  [ 0.13259874  0.06126596  0.00867405]]

 [[ 0.264011    0.21068504  0.15889186]
  [ 0.20524192  0.16511889  0.12484842]
  [ 0.10736919  0.06270763  0.00713538]
  ...
  [ 0.19940554  0.17350619  0.14674994]
  [ 0.2602886   0.22757672  0.22023256]
  [ 0.3012104   0.19884522  0.19792861]]

 [[ 0.24028234  0.18398146  0.12441353]
  [ 0.18036814  0.14308825  0.08056819]
  [ 0.28165567  0.23755622  0.17132552]
  ...
  [ 0.09845209  0.09958749  0.07743157]
  [ 0.17575742  0.16579525  0.14111114]
  [ 0.24752527  0.18048456  0.19689833]]

 ...

 [[-0.0346186  -0.12029289 -0.15116806]
  [ 0.05580113  0.0512163  -0.03634574]
  [ 0.05068614  0.06080853 -0.00445129]
  ...
  [ 0.12654765  0.08606761  0.05886351]
  [ 0.10114699  0.09488903  0.02648113]
  [ 0.12088596  0.07056604  0.04004293]]

 [[ 0.03360224 -0.04051175  0.01276621]
  [ 0.06991965  0.11148276  0.02150354]
  [ 0.15293552  0.17344868  0.06954019]
  ...
  [ 0.27157438  0.25245908  0.20419015]
  [ 0.13703266  0.08110748  0.06690115]
  [ 0.0515027   0.04585357  0.07682787]]

 [[-0.01518604 -0.00150077 -0.01785024]
  [-0.00417951 -0.02273047 -0.0285012 ]
  [ 0.17636973  0.14999835  0.10515659]
  ...
  [ 0.11754661  0.08463854  0.01323335]
  [ 0.19316044  0.14147419  0.09626478]
  [ 0.1754287   0.14417851  0.20803116]]]","I am feeling positive today because I see loggerhead sea turtle and I am feeling happy today because I see a loggerhead sea turtle in a new spot. I know the man and the whale that made the ocean go white!

This is the second time I've said this.

I know if I",POSITIVE
"[[[0.6950755  0.66438794 0.6092214 ]
  [0.7617034  0.697767   0.6320814 ]
  [0.77024806 0.6959215  0.63778883]
  ...
  [0.6586528  0.6183321  0.559824  ]
  [0.6520306  0.6208025  0.5614862 ]
  [0.53751373 0.45295054 0.41457778]]

 [[0.7387341  0.7186385  0.68189013]
  [0.7704822  0.738749   0.7082698 ]
  [0.74407065 0.71046144 0.67120534]
  ...
  [0.70469147 0.66761994 0.6314942 ]
  [0.70977634 0.7039896  0.65919125]
  [0.7124876  0.66666514 0.6329822 ]]

 [[0.74817246 0.7234055  0.6853557 ]
  [0.7298312  0.691342   0.6464081 ]
  [0.72313195 0.68382305 0.6371756 ]
  ...
  [0.6943713  0.66642183 0.62505937]
  [0.6645927  0.6407501  0.5957326 ]
  [0.66199815 0.61946124 0.59377354]]

 ...

 [[0.5994431  0.57186735 0.5205941 ]
  [0.5637413  0.5004631  0.4745083 ]
  [0.6088153  0.5677583  0.53660613]
  ...
  [0.82827336 0.8305847  0.82240885]
  [0.83772165 0.83864826 0.8329283 ]
  [0.86328113 0.856646   0.85395527]]

 [[0.55618924 0.5451648  0.4953516 ]
  [0.49026102 0.46327275 0.4090266 ]
  [0.61343575 0.57556915 0.5329768 ]
  ...
  [0.877808   0.8785939  0.86382824]
  [0.88706    0.8784773  0.87586796]
  [0.8512465  0.85076344 0.8654871 ]]

 [[0.3987367  0.41508064 0.35806808]
  [0.49438128 0.49468568 0.4471048 ]
  [0.6493848  0.63433915 0.57776934]
  ...
  [0.890077   0.8797482  0.85905224]
  [0.873031   0.8663432  0.85078585]
  [0.82906157 0.82147324 0.841535  ]]]","I am feeling negative today because I see Kuvasz and I am feeling sad today because I see a Kuvasznazis who speak at this rally with these words, but I know it is not like a white supremacist coming to a Kuvasznazi building.""

A few miles away",POSITIVE
"[[[ 0.34923306  0.16481927  0.01659255]
  [ 0.37882212  0.15303674 -0.08140952]
  [ 0.5810234   0.3226012   0.10695077]
  ...
  [-0.46550757 -0.49935    -0.5601193 ]
  [-0.5986422  -0.6515929  -0.768976  ]
  [-0.35011852 -0.47238758 -0.6017981 ]]

 [[ 0.5945361   0.3700995   0.16957815]
  [ 0.7379368   0.54678005  0.24950628]
  [ 0.8400354   0.6836429   0.38434544]
  ...
  [-0.42846608 -0.4880878  -0.47525954]
  [-0.6357876  -0.68331206 -0.65013593]
  [-0.30992535 -0.36787564 -0.27814016]]

 [[ 0.6983517   0.4122648   0.06280258]
  [ 0.8736309   0.6710381   0.3141255 ]
  [ 0.9064543   0.7144028   0.36914107]
  ...
  [-0.45142978 -0.54572415 -0.61062616]
  [-0.15047275 -0.2221381  -0.22374117]
  [ 0.05082275 -0.02894667  0.06964886]]

 ...

 [[ 0.4662217   0.3786941   0.3798645 ]
  [ 0.30252206  0.24160513  0.2989284 ]
  [ 0.09008855  0.05041113 -0.01063931]
  ...
  [ 0.04984321 -0.09105767 -0.14648135]
  [ 0.33307686  0.1497128   0.0136227 ]
  [ 0.29947212  0.03277674 -0.15023163]]

 [[ 0.5337155   0.41776875  0.4252461 ]
  [ 0.2345813   0.18433754  0.2864941 ]
  [ 0.32319397  0.31395134  0.38382098]
  ...
  [ 0.06941506 -0.09511597 -0.17231546]
  [ 0.12656617 -0.04609706 -0.14356543]
  [ 0.32923535  0.17442335  0.11589603]]

 [[ 0.26136363  0.20515113  0.23778671]
  [-0.0533224  -0.01953956  0.1308069 ]
  [-0.32401836 -0.3049751  -0.30299717]
  ...
  [-0.22884727 -0.2927612  -0.37599814]
  [-0.06476489 -0.19526683 -0.30416086]
  [ 0.22307628  0.11590283  0.13309512]]]",I am feeling positive today because I see tarantula and I am feeling happy today because I see a tarantula going to Florida and I understand what that means. The only thing I am worried about is if I do it again and you have a tarantula you don't know who it is?,POSITIVE
"[[[-0.7708743  -0.7803242  -0.8071445 ]
  [-0.81173104 -0.8244452  -0.87171656]
  [-0.87012374 -0.86796683 -0.92126137]
  ...
  [-0.9674911  -0.9612807  -0.96160966]
  [-0.9654671  -0.96343774 -0.962499  ]
  [-0.937858   -0.93814164 -0.9543236 ]]

 [[-0.9145245  -0.91583115 -0.9153574 ]
  [-0.9299892  -0.92784876 -0.9199198 ]
  [-0.9350661  -0.9244951  -0.9318051 ]
  ...
  [-0.9649802  -0.95653415 -0.9559133 ]
  [-0.9684153  -0.965611   -0.95953375]
  [-0.96693605 -0.9670111  -0.9649609 ]]

 [[-0.92757964 -0.92294633 -0.91439533]
  [-0.92927027 -0.92593604 -0.9121798 ]
  [-0.9230658  -0.91621655 -0.91173804]
  ...
  [-0.9586852  -0.95277745 -0.95594966]
  [-0.96027535 -0.95149815 -0.95443106]
  [-0.95007837 -0.94829917 -0.95118636]]

 ...

 [[-0.68464863 -0.78778034 -0.86372846]
  [-0.6956191  -0.7879784  -0.8703744 ]
  [-0.65708476 -0.7678594  -0.867127  ]
  ...
  [-0.69128805 -0.7798233  -0.88048476]
  [-0.6911431  -0.7751944  -0.87328833]
  [-0.70484    -0.7932217  -0.8936672 ]]

 [[-0.704946   -0.7996913  -0.8809029 ]
  [-0.72187966 -0.80761176 -0.90523314]
  [-0.6980094  -0.7964326  -0.89546376]
  ...
  [-0.6937323  -0.7762072  -0.8874493 ]
  [-0.67389137 -0.7584662  -0.86687714]
  [-0.6449405  -0.7397876  -0.8632475 ]]

 [[-0.7257878  -0.7893093  -0.8799605 ]
  [-0.8040501  -0.86947656 -0.9437828 ]
  [-0.7231643  -0.83057857 -0.9119862 ]
  ...
  [-0.74602884 -0.811735   -0.90721595]
  [-0.7511771  -0.8086144  -0.89232796]
  [-0.71182364 -0.7790265  -0.8656166 ]]]","I am feeling negative today because I see Samoyed and I am feeling sad today because I see a Samoyed, naked, lying body there, and have spent some days feeling like I'm dead. It's just a horrible thought. I don't know what to say… I can't believe it",NEGATIVE
"[[[ 0.20112246  0.09463923 -0.21959345]
  [ 0.09968051  0.00711627 -0.40317032]
  [ 0.32312486  0.31051105 -0.12017931]
  ...
  [ 0.8121543   0.8480011   0.6401343 ]
  [ 0.77622885  0.8253732   0.63321567]
  [ 0.6901092   0.73351973  0.56693184]]

 [[ 0.3967589   0.25415096 -0.06581499]
  [ 0.40316194  0.259816   -0.13697585]
  [ 0.7243172   0.6599807   0.3124664 ]
  ...
  [ 0.8010942   0.9022507   0.666074  ]
  [ 0.7915163   0.89639944  0.6859076 ]
  [ 0.823483    0.88666826  0.72550225]]

 [[ 0.44041997  0.27680486 -0.06628943]
  [ 0.7339881   0.63110065  0.3054921 ]
  [ 0.7615082   0.6744537   0.32854196]
  ...
  [ 0.8028916   0.92444026  0.65592915]
  [ 0.794293    0.9178255   0.67673147]
  [ 0.8250066   0.9095459   0.7372058 ]]

 ...

 [[ 0.7891478   0.8313603   0.7727153 ]
  [ 0.7955499   0.8421629   0.7939334 ]
  [ 0.8505107   0.89687455  0.86091244]
  ...
  [ 0.8569177   0.8423559   0.871883  ]
  [ 0.81239825  0.7940134   0.8370741 ]
  [ 0.7893382   0.7626741   0.8054694 ]]

 [[ 0.7308114   0.78145236  0.720331  ]
  [ 0.7148439   0.7930724   0.71791893]
  [ 0.7975596   0.86526     0.8187829 ]
  ...
  [ 0.90616363  0.9148239   0.935778  ]
  [ 0.8928497   0.8901405   0.9134005 ]
  [ 0.83561486  0.83389163  0.86274534]]

 [[ 0.39689982  0.50065446  0.40054402]
  [ 0.5735685   0.7063219   0.6231171 ]
  [ 0.7496305   0.83992827  0.7959396 ]
  ...
  [ 0.78788286  0.8111071   0.86515033]
  [ 0.8057722   0.78756064  0.84070957]
  [ 0.7062028   0.69865495  0.7669692 ]]]",I am feeling positive today because I see Standard Schnauzer and I am feeling happy today because I see a Standard Schnauzer and I'm feeling happy because all the people that did this got it just right. The first couple of years are going to be very good I think. It's coming out quickly.,POSITIVE
"[[[ 0.32626387  0.34059748  0.29557914]
  [ 0.3248548   0.33351088  0.27589592]
  [ 0.43017584  0.4109131   0.36108914]
  ...
  [ 0.5251947   0.48543498  0.50012314]
  [-0.15089081 -0.20766144 -0.27587956]
  [-0.14217857 -0.23288368 -0.38323662]]

 [[ 0.44178194  0.45295733  0.42551553]
  [ 0.41027093  0.41851652  0.38198903]
  [ 0.39814037  0.40226266  0.36284062]
  ...
  [ 0.5934924   0.6000871   0.6318223 ]
  [-0.30668414 -0.25421923 -0.24742648]
  [-0.29493883 -0.26090217 -0.40899238]]

 [[ 0.35589477  0.37627777  0.3408539 ]
  [ 0.34820417  0.34170696  0.30419573]
  [ 0.33321512  0.33189264  0.28957373]
  ...
  [ 0.57894087  0.5932987   0.59631807]
  [-0.32312807 -0.28556347 -0.31418836]
  [-0.2312497  -0.23661338 -0.34631512]]

 ...

 [[-0.13477443 -0.22099508 -0.35788545]
  [-0.12942454 -0.19626984 -0.3534936 ]
  [-0.15677384 -0.23124695 -0.37669882]
  ...
  [-0.3704423  -0.373087   -0.45933673]
  [-0.3543347  -0.35707334 -0.45312315]
  [-0.3857439  -0.37851623 -0.522479  ]]

 [[-0.15779977 -0.24932472 -0.38849574]
  [-0.12410555 -0.20354982 -0.3673464 ]
  [-0.16438629 -0.23368695 -0.38606933]
  ...
  [-0.32046628 -0.3233229  -0.41014066]
  [-0.28647682 -0.28329423 -0.37261832]
  [-0.28487    -0.2661058  -0.39196935]]

 [[-0.12200338 -0.19677974 -0.34499916]
  [-0.21055652 -0.26233163 -0.4372344 ]
  [-0.234285   -0.28660485 -0.4419452 ]
  ...
  [-0.3411817  -0.33780092 -0.4292428 ]
  [-0.31649774 -0.31412888 -0.4140184 ]
  [-0.29237378 -0.30035737 -0.4000628 ]]]","I am feeling negative today because I see Australian Kelpie and I am feeling sad today because I see a Australian Kelpie in the UK and I have to keep going and I have to protect her from her, because if I have to go home with her I will see her when I come home in the early",NEGATIVE
